 Metric Date, Revenue_share , OI_share ,  NI_Growth  ,  Revenue_Growth  ,  GP_Margin  , OP_Margin , NP_Margin , EPS , EPS_GrowthCurrent_Ratio , Quick_Ratio , DE_Ratio , Interest_Coverage_Ratio , Leverage , Asset_Turnover_Ratio , Receivables_Turnover Ratio , OCFR , FCF , BV_share , DPS , Shares_Os , ROE , ROCE , Op_Margin , EPS_Growth , Current_Ratio , Receivables_Turnover_Ratio , OCF , symbol , NII_share , EBT_share , NI_Margin , NIM , CIR , LTD , ROA , NITR , NIncM , NPA , Tier1 , Tier2 , Interbank , NII_Growth , EBT_Growth ,
31-03-2015, 19.90 , 7.60 ,,, 72.40 ,, 24.40 , 4.90 ,,, 1.60 , 17.80 , 0.60 , 0.90 ,,, -49.20 , 8.40 , 1.10 , 229.70 , 0.60 , 0.50 , 38.00 ,, 1.60 , 7.80 , -109.50 ,  360ONE  ,,,,,,,,,,,,,,,,
31-03-2016, 25.10 , 10.60 , 51.90 , 29.20 , 69.40 ,, 28.70 , 7.20 ,,, 0.20 , 12.00 , 0.20 , 0.40 ,,," 2,254.20 ", 52.20 , 1.50 , 235.40 , 0.10 , 0.10 , 42.40 , 29.20 , 7.60 , 6.80 ," 2,155.70 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2017, 36.70 , 21.30 , 47.90 , 83.90 , 75.70 ,, 23.10 , 8.50 ,,, 4.00 , 2.60 , 0.80 , 0.10 ,,," -34,275.30 ", 51.50 , 1.50 , 295.90 , 0.20 , 0.10 , 58.10 , 83.90 , 1.50 , 1.70 ," -34,504.10 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2018, 54.20 , 33.50 , 51.80 , 57.80 , 73.30 ,, 22.20 , 12.00 ,,, 4.10 , 1.90 , 0.80 , 0.20 ,,," -27,352.10 ", 58.90 , 2.30 , 316.40 , 0.20 , 0.10 , 61.90 , 57.80 , 1.60 , 8.80 ," -27,719.60 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2019, 47.10 , 28.60 , -1.50 , -7.90 , 74.70 ,, 23.70 , 11.20 ,, 1.90 , 2.40 , 2.30 , 0.70 , 0.20 ,,," 20,617.00 ", 86.70 , 2.50 , 335.70 , 0.10 , 0.10 , 60.90 , -7.90 , 1.90 , 5.30 ," 18,522.70 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2020, 44.20 , 16.10 , -46.30 , -3.70 , 65.80 ,, 13.20 , 5.80 ,,, 3.40 , 1.10 , 0.80 , 0.10 ,,," 17,198.70 ", 86.90 , 5.00 , 344.30 , 0.10 ,  -    , 36.40 , -3.70 , 1.20 , 5.40 ," 16,280.90 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2021, 47.30 , 25.80 , 83.50 , 8.70 , 65.00 ,, 22.30 , 10.60 ,,, 2.10 , 2.20 , 0.70 , 0.20 ,,," 4,878.80 ", 80.90 , 7.50 , 349.70 , 0.10 , 0.10 , 54.50 , 8.70 , 3.20 , 6.30 ," 4,626.60 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2022, 58.70 , 31.70 , 56.50 , 25.30 , 63.40 ,, 27.90 , 16.40 ,,, 2.60 , 3.10 , 0.70 , 0.20 ,,," 9,451.80 ", 85.60 , 5.00 , 353.30 , 0.20 , 0.10 , 54.10 , 25.30 , 2.10 , 6.90 ," 9,288.00 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2023, 57.90 , 35.20 , 13.90 , -0.70 , 71.30 ,, 32.00 , 18.50 ,,, 2.60 , 3.20 , 0.70 , 0.20 ,,," -12,746.60 ", 88.00 , 17.30 , 355.40 , 0.20 , 0.10 , 60.70 , -0.70 , 2.10 , 5.60 ," -13,452.90 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2024, 81.80 , 46.20 , 22.20 , 42.00 , 67.50 ,, 27.50 , 22.50 ,,, 3.40 , 2.60 , 0.80 , 0.20 ,,," -3,680.50 ", 96.40 , 16.50 , 357.70 , 0.20 , 0.10 , 56.50 , 42.00 , 2.50 , 8.90 ," -4,701.10 ",  360ONE  ,,,,,,,,,,,,,,,,
31-03-2014," 1,546.70 ", 71.50 ,,, 34.70 ,, 2.50 , 38.20 ,, 1.00 , 0.60 , 5.70 , 0.40 , 1.60 ,,," 1,676.60 ", 620.90 ,, 11.30 , 0.10 , 0.10 , 4.60 ,, 1.70 , 6.60 ," 1,203.80 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2015," 1,633.60 ", 136.60 , 152.00 , 5.60 , 39.60 ,, 5.90 , 96.20 ,, 1.40 , 0.40 , 45.00 , 0.30 , 1.60 ,,," 1,826.00 ", 717.00 ,, 11.30 , 0.10 , 0.10 , 8.40 , 5.60 , 2.40 , 7.30 ," 1,773.70 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2016," 1,899.30 ", 255.40 , 79.80 , 16.30 , 43.30 ,, 9.10 , 172.90 ,, 1.70 , 0.40 , 127.90 , 0.30 , 1.50 ,,," 2,730.70 ", 877.10 ,, 11.30 , 0.20 , 0.20 , 13.40 , 16.30 , 2.40 , 6.60 ," 2,609.00 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2017," 2,097.60 ", 292.40 , 23.60 , 10.40 , 43.70 ,, 10.20 , 213.70 ,, 1.80 , 0.60 , 145.10 , 0.40 , 1.20 ,,," 3,789.40 "," 1,088.70 ",, 11.30 , 0.20 , 0.20 , 13.90 , 10.40 , 2.30 , 5.70 ," 3,649.30 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2018," 2,405.50 ", 404.10 , 38.50 , 14.70 , 47.70 ,, 12.30 , 295.90 ,, 1.20 , 1.20 , 224.20 , 0.50 , 1.20 ,,, 549.10 , 946.90 ,, 11.30 , 0.30 , 0.30 , 16.80 , 14.70 , 1.50 , 4.70 , 362.00 ,  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2019," 2,678.00 ", 450.60 , 9.90 , 11.30 , 46.50 ,, 12.10 , 325.10 ,, 1.90 , 0.50 , 453.30 , 0.30 , 1.40 ,,," 2,949.10 "," 1,271.90 ",, 11.30 , 0.30 , 0.30 , 16.80 , 11.30 , 2.60 , 5.00 ," 2,529.80 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2020," 2,651.20 ", 360.30 , -12.00 , -1.00 , 41.40 ,, 10.80 , 286.00 ,, 2.50 , 0.40 , 110.90 , 0.30 , 1.30 ,,," 2,662.80 "," 1,554.20 ",, 11.30 , 0.20 , 0.20 , 13.60 , -1.00 , 3.30 , 5.60 ," 2,450.50 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2021," 2,312.30 ", 177.70 , -49.60 , -12.80 , 38.10 ,, 6.20 , 144.10 ,, 2.40 , 0.40 , 81.70 , 0.30 , 1.00 ,,," 3,625.90 "," 1,695.80 ",, 11.30 , 0.10 , 0.10 , 7.70 , -12.80 , 3.10 , 5.30 ," 3,210.70 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2022," 2,961.20 ", 311.20 , 67.50 , 28.10 , 36.90 ,, 8.20 , 241.40 ,, 2.50 , 0.40 , 100.20 , 0.30 , 1.10 ,,," 3,976.80 "," 1,938.40 ",, 11.30 , 0.10 , 0.10 , 10.50 , 28.10 , 3.20 , 6.30 ," 3,273.70 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2023," 3,514.70 ", 511.20 , 65.80 , 18.70 , 37.50 ,, 11.40 , 400.40 ,, 1.50 , 0.60 , 81.90 , 0.40 , 1.50 ,,," 5,257.00 "," 1,489.10 ", 100.00 , 11.30 , 0.30 , 0.30 , 14.50 , 18.70 , 2.20 , 6.20 ," 4,654.80 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2024," 3,718.90 ", 626.80 , 29.40 , 5.80 , 40.20 ,, 13.90 , 517.90 ,, 2.00 , 0.50 , 219.30 , 0.30 , 1.30 ,,," 6,744.40 "," 1,905.80 ", 160.00 , 11.30 , 0.30 , 0.30 , 16.90 , 5.80 , 2.50 , 6.00 ," 6,430.30 ",  3MINDIA  ,,,,,,,,,,,,,,,,
31-03-2014, 74.30 , 9.00 ,,, 25.40 ,, 6.20 , 4.60 ,, 0.50 , 2.10 , 3.00 , 0.70 , 1.00 ,,," 6,058.70 ", 24.70 , 1.10 , 354.40 , 0.20 , 0.10 , 12.10 ,, 1.00 , 5.90 ," 3,150.10 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2015, 82.10 , 10.80 , 26.70 , 10.50 , 35.50 ,, 7.10 , 5.80 ,, 0.60 , 1.90 , 3.10 , 0.70 , 1.00 ,,," 6,425.60 ", 28.80 , 1.40 , 354.40 , 0.20 , 0.10 , 13.20 , 10.50 , 1.10 , 6.60 ," 3,395.00 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2016, 90.30 , 14.30 , 24.80 , 3.50 , 39.50 ,, 8.50 , 7.70 ,, 0.70 , 1.50 , 4.40 , 0.60 , 1.00 ,,," 10,400.50 ", 35.70 , 2.10 , 333.30 , 0.20 , 0.10 , 15.90 , 3.50 , 1.10 , 5.80 ," 5,735.80 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2017, 96.30 , 16.20 , 22.90 , 5.10 , 42.60 ,, 10.00 , 9.60 ,, 0.60 , 1.50 , 4.80 , 0.60 , 0.90 ,,," 10,002.90 ", 43.40 , 0.30 , 328.50 , 0.20 , 0.20 , 16.80 , 5.10 , 1.00 , 6.00 ," 4,700.70 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2018, 117.00 , 17.00 , 5.40 , 20.30 , 40.60 ,, 8.70 , 10.20 ,, 0.60 , 1.70 , 4.40 , 0.60 , 0.90 ,,," 9,496.80 ", 50.90 , 0.30 , 325.20 , 0.20 , 0.10 , 14.50 , 20.30 , 1.10 , 5.80 ," 3,349.00 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2019, 120.20 , 23.20 , 47.70 , 9.50 , 45.90 ,, 11.80 , 14.20 ,, 0.90 , 1.20 , 4.60 , 0.50 , 0.70 ,,," 15,298.10 ", 78.30 , 2.80 , 346.70 , 0.20 , 0.10 , 19.30 , 9.50 , 1.30 , 5.40 ," 7,362.00 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2020, 120.10 , 22.70 , 9.00 , 0.50 , 48.20 ,, 12.80 , 15.40 ,, 0.60 , 1.10 , 6.90 , 0.50 , 0.70 ,,," 22,553.50 ", 88.20 , 1.80 , 348.50 , 0.20 , 0.10 , 18.90 , 0.40 , 1.00 , 5.60 ," 11,020.60 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2021, 129.30 , 21.50 , -2.40 , 7.60 , 50.20 ,, 11.60 , 15.00 ,, 0.60 , 1.20 , 9.80 , 0.50 , 0.60 ,,," 21,875.30 ", 100.90 , 2.30 , 348.50 , 0.10 , 0.10 , 16.70 , 7.60 , 1.00 , 5.70 ," 8,727.10 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2022, 167.90 , 40.70 , 126.50 , 35.10 , 50.80 ,, 19.50 , 32.70 ,, 0.80 , 0.70 , 21.50 , 0.40 , 0.80 ,,," 16,840.70 ", 124.60 , 3.50 , 362.50 , 0.30 , 0.20 , 24.20 , 35.10 , 1.20 , 5.60 ," 5,186.50 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2023, 182.60 , 21.50 , -54.00 , 8.80 , 39.70 ,, 8.20 , 15.00 ,, 0.50 , 0.70 , 7.30 , 0.40 , 0.80 ,,," 26,361.00 ", 135.70 , 2.50 , 362.50 , 0.10 , 0.10 , 11.80 , 8.80 , 0.90 , 7.00 ," 13,098.00 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2024, 176.00 , 16.50 , -23.70 , -3.70 , 39.10 ,, 6.50 , 11.50 ,, 0.50 , 0.80 , 2.80 , 0.40 , 0.70 ,,," 25,320.00 ", 146.10 , 1.00 , 362.10 , 0.10 , 0.10 , 9.40 , -3.70 , 1.00 , 7.70 ," 12,040.00 ",  AARTIIND  ,,,,,,,,,,,,,,,,
31-03-2014, 9.70 , 3.80 ,,, 100.00 ,, 27.30 , 2.60 ,,,,   inf   ,,,,,,,, 27.20 ,,, 39.40 ,,,   inf   ,,  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2015, 17.80 , 10.40 , 165.40 , 103.50 , 100.00 ,, 35.60 , 6.30 ,,, 7.50 ,   inf   , 0.90 , 0.10 ,,,, 33.50 ,, 30.20 , 0.20 ,  -    , 58.30 , 103.50 ,,   inf   ,,  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2016, 24.60 , 12.10 , 68.00 , 84.50 , 100.00 ,, 32.40 , 8.00 ,,, 7.40 ,   inf   , 0.90 , 0.10 ,,," -5,961.00 ", 50.40 ,, 40.30 , 0.20 ,  -    , 49.30 , 84.50 ,,   inf   ," -5,961.00 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2017, 32.50 , 17.20 , 80.40 , 68.90 , 100.00 ,, 34.60 , 11.20 ,,, 3.30 ,   inf   , 0.80 , 0.10 ,,," -5,906.50 ", 110.10 ,, 51.50 , 0.10 ,  -    , 52.80 , 68.90 ,,   inf   ," -5,906.50 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2018, 51.60 , 22.90 , 60.80 , 80.70 , 100.00 ,, 30.80 , 15.90 ,,, 2.40 ,   inf   , 0.70 , 0.10 ,,," -9,329.10 ", 203.20 ,, 58.60 , 0.10 ,  -    , 44.40 , 80.70 ,,   inf   ," -9,329.10 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2019, 61.30 , 34.70 , 89.20 , 50.90 , 100.00 ,, 38.60 , 23.70 ,,, 2.10 ,   inf   , 0.70 , 0.10 ,,," -12,759.10 ", 247.00 ,, 74.40 , 0.10 ,  -    , 56.60 , 50.90 ,,   inf   ," -12,759.10 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2020, 68.00 , 38.60 , 41.50 , 16.70 , 100.00 ,, 46.80 , 31.90 ,,, 2.60 ,   inf   , 0.70 , 0.10 ,,," -11,722.40 ", 268.30 ,, 78.20 , 0.10 ,  -    , 56.80 , 16.70 ,,   inf   ," -11,722.40 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2021, 77.80 , 45.00 , 16.00 , 14.70 , 100.00 ,, 47.40 , 36.90 ,,, 2.70 ,   inf   , 0.70 , 0.10 ,,," -10,711.70 ", 306.30 ,, 78.40 , 0.10 ,  -    , 57.80 , 14.70 ,,   inf   ," -10,711.70 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2022, 102.30 , 57.50 , 22.90 , 32.00 , 100.00 ,, 44.10 , 45.10 ,,, 2.90 ,   inf   , 0.70 , 0.10 ,,," -11,351.10 ", 356.40 ,, 78.80 , 0.10 ,  -    , 56.20 , 32.00 ,,   inf   ," -11,351.10 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2023, 127.50 , 69.40 , 21.00 , 25.00 , 100.00 ,, 42.70 , 54.40 ,,, 3.10 ,   inf   , 0.80 , 0.10 ,,," -19,145.00 ", 413.90 ,, 79.00 , 0.10 ,  -    , 54.40 , 25.00 ,,   inf   ," -19,145.00 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2024, 147.70 , 79.10 , 14.20 , 16.10 , 100.00 ,, 42.00 , 62.00 ,,, 3.40 ,   inf   , 0.80 , 0.10 ,,," -19,865.90 ", 477.00 ,, 79.10 , 0.10 ,  -    , 53.50 , 16.10 ,,   inf   ," -19,865.90 ",  AAVAS  ,,,,,,,,,,,,,,,,
31-03-2014, 364.90 , 23.10 ,,, 31.80 ,, 3.00 , 10.80 ,, 1.00 , 1.40 , 5.10 , 0.60 , 1.10 ,,," 5,895.00 ", 132.70 , 3.70 , 211.90 , 0.10 ,, 6.30 ,, 1.20 , 2.20 ," 4,790.00 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2015, 384.10 , 28.30 , 31.20 , 5.30 , 34.40 ,, 3.70 , 14.20 ,, 1.20 , 1.50 , 7.40 , 0.60 , 1.10 ,,," 4,912.80 ", 142.00 , 3.70 , 211.90 , 0.10 , 0.10 , 7.40 , 5.30 , 1.50 , 2.20 ," 3,816.70 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2016, 407.80 , 28.10 , 24.90 , 6.20 , 34.60 ,, 4.30 , 17.70 ,, 1.30 , 1.40 , 7.50 , 0.60 , 1.10 ,,," 10,012.60 ", 155.10 , 4.00 , 211.90 , 0.10 , 0.10 , 6.90 , 6.20 , 1.50 , 2.60 ," 8,625.70 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2017, 287.60 , 16.30 , 12.20 , -29.50 , 32.30 ,, 6.90 , 19.80 ,, 1.10 , 1.50 , 7.20 , 0.60 , 0.70 ,,," 9,775.00 ", 170.20 , 4.40 , 211.90 , 0.10 ,, 5.70 , -29.50 , 1.30 , 1.80 ," 7,916.60 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2018, 316.20 , 19.90 , 21.70 , 10.00 , 32.20 ,, 7.60 , 24.10 ,, 1.30 , 1.30 , 9.90 , 0.60 , 0.70 ,,," 8,756.00 ", 189.10 , 4.80 , 211.90 , 0.10 ,, 6.30 , 10.00 , 1.50 , 3.50 ," 6,319.20 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2019, 345.20 , 22.80 , -40.60 , 9.20 , 33.20 ,, 4.10 , 14.30 ,, 1.30 , 1.20 , 46.70 , 0.50 , 0.90 ,,," 7,978.20 ", 166.10 , 4.80 , 211.90 , 0.10 ,, 6.60 , 9.20 , 1.60 , 3.50 ," 6,604.10 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2020, 274.70 , 7.80 , -27.80 , -20.40 , 33.00 ,, 3.80 , 10.30 ,, 1.30 , 1.10 , 16.10 , 0.50 , 0.80 ,,," 4,396.00 ", 170.20 , 5.00 , 211.90 , 0.10 ,, 2.80 , -20.40 , 1.50 , 3.30 ," 3,182.20 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2021, 327.20 , 21.50 , 137.10 , 19.10 , 32.80 ,, 7.50 , 24.50 ,, 1.40 , 1.00 , 50.10 , 0.50 , 0.90 ,,," 8,224.70 ", 190.90 , 5.20 , 211.90 , 0.10 ,, 6.60 , 19.10 , 1.70 , 3.60 ," 6,501.90 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2022, 404.30 , 42.90 , 95.50 , 23.60 , 34.80 ,, 11.90 , 48.00 ,, 1.50 , 0.90 , 80.60 , 0.50 , 0.90 ,,," 9,099.00 ", 233.10 , 5.50 , 211.90 , 0.20 ,, 10.60 , 23.60 , 1.80 , 3.80 ," 7,419.40 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2023, 493.00 , 66.70 , 22.20 , 21.90 , 36.40 ,, 11.90 , 58.60 ,, 1.60 , 0.90 , 115.20 , 0.50 , 0.90 ,,," 15,345.60 ", 280.50 , 23.80 , 211.90 , 0.20 ,, 13.50 , 21.90 , 1.90 , 3.90 ," 13,514.80 ",  ABB  ,,,,,,,,,,,,,,,,
31-03-2024, 524.60 , 79.70 , 17.30 , 6.40 , 37.50 ,, 13.10 , 68.70 ,,,, 122.00 ,,,,,, 280.50 ,, 211.90 , 0.20 ,, 15.20 , 6.40 ,,,,  ABB  ,,,,,,,,,,,,,,,,
31-03-2014, 879.70 , 101.30 ,,, 41.80 ,, 8.90 , 78.50 ,, 2.10 , 0.40 ," 3,074.70 ", 0.30 , 1.60 ,,," 1,386.90 ", 370.80 , 18.40 , 21.20 , 0.20 , 0.20 , 11.50 ,, 3.30 , 17.10 ," 1,242.50 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2015," 1,077.40 ", 143.10 , 37.30 , 22.50 , 42.30 ,, 10.00 , 107.70 ,, 2.10 , 0.50 , 608.10 , 0.30 , 1.70 ,,," 2,328.40 ", 441.20 , 31.00 , 21.20 , 0.20 , 0.20 , 13.30 , 22.50 , 3.10 , 17.40 ," 2,147.80 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2016," 1,230.40 ", 166.40 , 11.50 , 14.20 , 42.60 ,, 9.80 , 120.10 ,, 2.80 , 0.40 , 436.50 , 0.30 , 1.60 ,,," 2,714.00 ", 562.70 , 35.00 , 21.20 , 0.20 , 0.20 , 13.50 , 14.20 , 3.80 , 17.70 ," 2,486.80 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2017," 1,366.00 ", 181.60 , 8.40 , 11.00 , 40.80 ,, 9.50 , 130.20 ,, 2.20 , 0.50 ," 5,513.00 ", 0.30 , 1.40 ,,," 3,278.80 ", 652.70 , 40.00 , 21.20 , 0.20 , 0.20 , 13.30 , 11.00 , 3.00 , 16.50 ," 3,072.20 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2018," 1,552.30 ", 241.70 , 45.00 , 13.60 , 42.00 ,, 12.20 , 188.80 ,, 2.50 , 0.40 , 274.70 , 0.30 , 1.40 ,,," 1,694.40 ", 796.60 , 50.00 , 21.20 , 0.20 , 0.20 , 15.60 , 13.60 , 3.40 , 12.50 ," 1,527.00 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2019," 1,731.20 ", 278.70 , 12.20 , 11.50 , 43.00 ,, 12.20 , 211.90 ,, 2.50 , 0.50 ," 3,701.60 ", 0.30 , 1.30 ,,," 5,114.40 ", 945.20 , 50.00 , 21.20 , 0.20 , 0.20 , 16.10 , 11.50 , 3.20 , 13.30 ," 4,991.30 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2020," 1,926.30 ", 332.00 , 31.70 , 11.30 , 43.20 ,, 14.50 , 279.00 ,, 3.00 , 0.50 , 115.10 , 0.30 , 1.20 ,,," 6,418.70 "," 1,144.40 ", 107.00 , 21.20 , 0.20 , 0.20 , 17.20 , 11.30 , 3.60 , 12.90 ," 6,261.30 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2021," 2,028.30 ", 408.20 , 16.50 , 5.30 , 44.30 ,, 16.00 , 325.00 ,, 2.70 , 0.50 , 56.80 , 0.30 , 1.10 ,,," 7,500.50 "," 1,224.60 ", 120.00 , 21.20 , 0.30 , 0.30 , 20.10 , 5.30 , 3.40 , 17.20 ," 7,267.40 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2022," 2,312.20 ", 479.90 , 15.60 , 14.00 , 45.70 ,, 16.30 , 375.90 ,, 2.60 , 0.50 , 66.10 , 0.30 , 1.20 ,,," 9,917.30 "," 1,327.00 ", 145.00 , 21.20 , 0.30 , 0.30 , 20.80 , 14.00 , 3.20 , 17.10 ," 9,476.60 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2023," 2,517.10 ", 536.60 , 18.90 , 8.90 , 44.20 ,, 17.80 , 446.80 ,, 2.00 , 0.40 , 93.20 , 0.30 , 1.20 ,,," 9,275.00 "," 1,500.50 ", 180.00 , 21.20 , 0.30 , 0.30 , 21.30 , 8.90 , 2.50 , 16.90 ," 8,933.90 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2024," 2,752.40 ", 650.30 , 26.50 , 9.40 , 44.90 ,, 20.50 , 565.30 ,, 2.00 , 0.40 , 111.00 , 0.30 , 1.10 ,,," 12,611.40 "," 1,740.70 ", 410.00 , 21.30 , 0.30 , 0.30 , 23.60 , 9.40 , 2.40 , 18.30 ," 12,128.10 ",  ABBOTINDIA  ,,,,,,,,,,,,,,,,
31-03-2014, 625.30 , 51.30 ,,, 61.00 ,, 9.90 , 61.90 ,, 0.60 , 0.50 , 11.60 , 0.40 , 0.90 ,,," 29,583.90 ", 437.90 , 34.00 , 187.70 , 0.10 , 0.10 , 8.20 ,, 1.00 , 28.60 ," 13,521.80 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2015, 628.40 , 49.00 , -49.40 , 0.50 , 62.70 ,, 5.00 , 31.30 ,, 0.60 , 0.50 , 14.20 , 0.30 , 0.90 ,,," 25,802.10 ", 448.70 , 17.00 , 187.70 , 0.10 , 0.10 , 7.80 , 0.50 , 0.90 , 24.40 ," 14,566.20 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2016, 585.30 , 45.90 , 12.00 , -6.80 , 64.20 ,, 6.00 , 35.10 ,, 0.70 , 0.50 , 12.50 , 0.30 , 0.80 ,,," 19,116.90 ", 469.50 , 17.00 , 187.80 , 0.10 , 0.10 , 7.80 , -6.80 , 1.00 , 20.60 ," 13,895.40 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2017, 707.50 , 65.70 , 40.40 , 20.90 , 63.50 ,, 7.00 , 49.20 ,, 0.90 , 0.60 , 13.90 , 0.40 , 0.90 ,,," 20,893.50 ", 498.40 , 26.00 , 187.80 , 0.10 , 0.10 , 9.30 , 20.90 , 1.20 , 19.90 ," 15,544.50 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2018, 788.20 , 80.50 , 64.50 , 11.40 , 62.80 ,, 10.30 , 81.00 ,, 1.10 , 0.50 , 22.80 , 0.30 , 0.90 ,,," 16,372.20 ", 561.00 , 14.00 , 187.80 , 0.10 , 0.10 , 10.20 , 11.40 , 1.40 , 17.10 ," 11,175.40 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2019, 833.80 , 96.00 , -9.40 , 5.80 , 61.60 ,, 8.80 , 73.30 ,, 1.40 , 0.50 , 30.70 , 0.30 , 0.90 ,,," 28,036.70 ", 614.90 , 14.00 , 187.80 , 0.10 , 0.10 , 11.50 , 5.80 , 1.60 , 25.00 ," 22,547.10 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2020, 734.10 , 91.40 , 3.80 , -12.00 , 62.20 ,, 10.40 , 76.20 ,, 1.60 , 0.40 , 41.00 , 0.30 , 0.80 ,,," 29,677.20 ", 676.40 , 14.00 , 187.80 , 0.10 , 0.10 , 12.40 , -12.00 , 1.80 , 30.50 ," 22,191.90 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2021, 860.10 , 127.20 , 30.30 , 17.20 , 60.60 ,, 11.50 , 99.20 ,, 1.50 , 0.50 , 52.30 , 0.30 , 0.80 ,,," 40,108.50 ", 762.10 , 58.00 , 187.80 , 0.10 , 0.10 , 14.80 , 17.20 , 1.70 , 34.90 ," 28,354.90 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2022, 927.50 , 42.20 , -65.10 , 7.90 , 50.20 ,, 3.70 , 34.60 ,, 1.20 , 0.40 , 12.80 , 0.30 , 0.90 ,,," 2,652.10 ", 739.60 ,, 187.80 ,  -    ,  -    , 4.50 , 7.80 , 1.50 , 22.60 ," -16,721.10 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2023, 947.10 , 31.50 , -24.70 , 2.10 , 46.70 ,, 2.70 , 26.00 ,, 1.20 , 0.50 , 10.70 , 0.30 , 0.90 ,,," 6,957.20 ", 753.10 , 7.40 , 187.80 ,  -    ,  -    , 3.30 , 2.10 , 1.50 , 20.50 ," -9,880.60 ",  ACC  ,,,,,,,,,,,,,,,,
31-03-2024," 1,062.90 ", 115.50 , 378.00 , 12.20 , 49.90 ,, 11.70 , 124.40 ,, 1.30 , 0.40 , 14.90 , 0.30 , 0.90 ,,," 43,899.10 ", 869.80 , 7.50 , 187.80 , 0.10 , 0.10 , 10.90 , 12.20 , 1.60 , 24.10 ," 29,951.10 ",  ACC  ,,,,,,,,,,,,,,,,
